i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,-0.177589,0.880725,-1.58534,-0.195824,1.30659,1245.51,0.997779,1,Maths
2,-0.0309262,1.05395,-1.6676,-0.00129855,1.51138,1666.89,0.996965,2,Number
3,0.714133,0.773925,-0.537911,0.699584,1.94365,842.258,0.99827,3,Calculator Use
4,0.10426,0.354211,-0.431415,0.0848939,0.728513,534.5,0.998627,4,Decimals
5,-0.553976,0.201234,-0.888181,-0.553566,-0.223697,149.063,1.01233,5,"Factors, Multiples and Primes"
6,-0.804589,0.341414,-1.36683,-0.782294,-0.271824,279.802,1.00593,6,"Fractions, Decimals and Percentage Equivalence"
7,-0.368325,0.192652,-0.681926,-0.360982,-0.0733319,113.207,1.02026,7,Fractions
8,0.0544358,0.254473,-0.335249,0.0474683,0.487523,267.028,1.01165,8,"Indices, Powers and Roots"
9,-0.368131,0.196865,-0.71927,-0.359545,-0.0544426,177.889,1.00444,9,Negative Numbers
10,-0.0402369,0.296179,-0.543071,-0.0481384,0.420184,220.722,1.017,10,Percentages
11,-0.331336,0.425958,-1.03029,-0.328769,0.385802,634.99,1.0008,11,Proportion
12,-0.576827,0.315165,-1.11533,-0.556067,-0.117613,346.715,0.997898,12,Ratio
13,-0.870217,0.59703,-1.87274,-0.856358,0.0890152,677.464,0.998994,13,Surds
14,0.179175,0.993524,-1.48941,0.190563,1.71196,1270.15,0.998949,14,Algebra
15,-0.406984,0.337773,-1.00045,-0.394392,0.116648,400.935,1.00228,15,Straight Line Graphs
16,-1.00114,0.492773,-1.79957,-0.979811,-0.252784,330.833,1.00978,16,Quadratic Graphs
17,-0.423899,0.382407,-1.08153,-0.412568,0.123071,349.077,1.00648,17,Inequalities
18,-0.0867128,0.364491,-0.722994,-0.0829784,0.533788,389.676,1.00721,18,Sequences
19,-0.399362,0.255039,-0.847367,-0.394314,0.0223518,274.872,1.0081,19,Writing and Simplifying Expressions
20,-0.46011,0.723563,-1.71538,-0.412692,0.63627,832.228,0.998719,20,Transformation of Functions
21,-0.075647,1.02193,-1.60762,-0.106195,1.46142,1666.89,0.997253,21,Geometry and Measure
22,-0.267986,0.207335,-0.611546,-0.263613,0.0565841,211.86,1.00998,22,Angles
23,-0.977296,0.478301,-1.76038,-0.972967,-0.24328,559.939,0.999606,23,Circles
24,-0.838654,0.449972,-1.62386,-0.836659,-0.0934345,732.051,0.999617,24,Compound Measures
25,-0.611212,0.302172,-1.11219,-0.605638,-0.119318,220.378,1.00934,25,Co-ordinates
26,-0.526137,0.516195,-1.38278,-0.500793,0.286185,316.985,0.999382,26,"Construction, Loci and Scale Drawing"
27,0.188667,0.526818,-0.693486,0.190858,1.01108,443.232,0.999188,27,Symmetry
28,0.161514,0.482296,-0.626592,0.159294,0.946684,537.653,1.00377,28,Basic Trigonometry
29,0.38524,0.285309,-0.133423,0.384523,0.876073,327.457,1.00566,29,Units of Measurement
30,0.216602,0.839995,-1.20908,0.239211,1.63587,1035.72,0.999756,30,Basic Vectors
31,-0.543515,0.395106,-1.1862,-0.53174,0.0849393,505.644,1.00251,31,Volume and Surface Area
32,0.266627,1.0183,-1.45101,0.29327,1.88133,1662.86,0.996954,32,Data and Statistics
33,-0.970253,0.605565,-1.96191,-0.943969,0.0293317,610.679,1.00086,33,Data Collection
34,-0.00715741,0.962204,-1.61881,0.0254626,1.51934,907.666,0.999554,34,Advanced Pure
35,0.334085,0.966199,-1.20887,0.307895,1.86419,1296.73,0.997378,35,Differentiation
36,0.00733955,1.02198,-1.8195,0.0484293,1.67059,1183.16,0.998275,36,Exponentials and Logarithms
37,0.0100207,0.991605,-1.53694,0.0610701,1.62634,1443.62,0.998459,37,Integration
38,0.0347038,0.875862,-1.4441,0.0614752,1.53014,1478.25,0.999114,38,Matrices
39,-0.0435662,1.02301,-1.73192,-0.0300759,1.59275,903.732,0.998538,39,Sequences and Series
40,0.0032824,0.99329,-1.67026,-0.0188875,1.70649,1299.26,0.997187,40,Advanced Trigonometry
41,0.17499,1.03992,-1.62586,0.178749,1.86171,884.289,0.997983,41,Advanced Vectors
42,-0.403295,0.330119,-0.938395,-0.422265,0.133454,270.264,1.00988,42,Rounding and Estimating
43,-0.0281385,0.998781,-1.74225,-0.0356735,1.69441,1666.89,0.997247,43,Advanced Algebra
44,0.19729,0.156098,-0.0703436,0.206579,0.440512,175.791,1.00902,44,Basic Arithmetic
